iter	RMSE
0	0.134760801
1	0.1320065207
2	0.1295795826
3	0.1272842611
4	0.1248165715
5	0.1223856875
6	0.1201373701
7	0.1180866799
8	0.1159376816
9	0.1136946513
10	0.1116745678
11	0.1099220196
12	0.1081391238
13	0.1062904927
14	0.1045030339
15	0.1028227925
16	0.1015298997
17	0.09995192001
18	0.09847701129
19	0.09703519328
20	0.09579508247
21	0.09436025769
22	0.09296889431
23	0.09178464793
24	0.09045276661
25	0.08930386504
26	0.08815790889
27	0.08701509773
28	0.08579076743
29	0.08471984036
30	0.08369964788
31	0.08270181846
32	0.08177425733
33	0.08081997924
34	0.07992799195
35	0.07905844457
36	0.07813059769
37	0.07729692781
38	0.07655449238
39	0.07586531496
40	0.07527846254
41	0.07466285497
42	0.07394150624
43	0.07329627223
44	0.07268782476
45	0.07204927647
46	0.07142424923
47	0.07080944855
48	0.07018928122
49	0.06969757596
50	0.06915932245
51	0.06873258753
52	0.06831458982
53	0.0678231502
54	0.06736280219
55	0.06689313526
56	0.06647983924
57	0.06607826229
58	0.06572537989
59	0.06537371728
60	0.06505331829
61	0.06466834613
62	0.0642260138
63	0.06384263468
64	0.06355898886
65	0.06329459468
66	0.06301859626
67	0.06277385379
68	0.06256968089
69	0.06234514707
70	0.06212971525
71	0.06190225136
72	0.06172814546
73	0.0615181495
74	0.06129347976
75	0.06106994863
76	0.06077415289
77	0.06059263936
78	0.0603750587
79	0.06019962179
80	0.06004521146
81	0.05983701252
82	0.05965441659
83	0.05940318645
84	0.059198768
85	0.05906324546
86	0.05882891304
87	0.05869259244
88	0.05857066482
89	0.05842581916
90	0.05827383224
91	0.05810091584
92	0.05794836457
93	0.05783439911
94	0.05767837423
95	0.05755779673
96	0.0573694403
97	0.05723879133
98	0.05706767126
99	0.05694909073
100	0.05676096668
101	0.05669342387
102	0.0565685832
103	0.05640008824
104	0.05632534593
105	0.05618099378
106	0.05610925357
107	0.0560075187
108	0.05588779987
109	0.0557322169
110	0.05561501146
111	0.05548931998
112	0.05536004076
113	0.05522096176
114	0.05508238638
115	0.05498076261
116	0.05489746582
117	0.05481176725
118	0.05475297778
119	0.05456567042
120	0.05447422572
121	0.05437898459
122	0.05424052212
123	0.05418148969
124	0.05406928639
125	0.05392302268
126	0.05376837398
127	0.0537025219
128	0.05360160818
129	0.05345981744
130	0.05338112895
131	0.05326157899
132	0.05316278487
133	0.05308134074
134	0.0529768108
135	0.05284922366
136	0.05270143425
137	0.05265675715
138	0.05259370648
139	0.05247347629
140	0.05235991967
141	0.05218876051
142	0.05206071045
143	0.0520034159
144	0.05192533305
145	0.05181027981
146	0.05171102801
147	0.0516764981
148	0.05162579763
149	0.05155715617
150	0.05149395596
151	0.05144677066
152	0.05137714422
153	0.0512854363
154	0.05117907266
155	0.05103609702
156	0.05089602599
157	0.05075032098
158	0.05064028016
159	0.05058698642
160	0.05045183626
161	0.05032709418
162	0.0502435746
163	0.05009794606
164	0.05000528269
165	0.04986037661
166	0.04979189074
167	0.04968654692
168	0.04952266093
169	0.04944226119
170	0.04936810534
171	0.04933573759
172	0.04920076107
173	0.04913019191
174	0.04907770965
175	0.04900617502
176	0.04888938355
177	0.04880568308
178	0.04869331434
179	0.04867542026
180	0.04862821223
181	0.04858548219
182	0.04847054357
183	0.04836744096
184	0.04830885837
185	0.04829846872
186	0.04819925671
187	0.04814212251
188	0.04805040432
189	0.04799063099
190	0.04795692067
191	0.04789101025
192	0.04778831218
193	0.04773286596
194	0.04764262128
195	0.04752193854
196	0.04741324354
